datetime,open,close,high,low,volume,amount,MACD_1d,MACD_1d_Signal,MACD_1d_Hist,KDJ_1d_K,KDJ_1d_D,KDJ_1d_J,RSI_1d_6,RSI_1d_12,RSI_1d_24,ma5_1d,ma10_1d,ma20_1d
2025-01-09,42.48,43.82,44.19,42.4,274832.0,1199651986.0,-2.801,-2.193,-1.215,16.38,13.89,21.35,36.78,35.02,43.93,42.65,45.253,48.202
2025-01-10,43.51,43.38,45.58,43.38,306776.0,1363384673.0,-2.769,-2.309,-0.922,18.97,15.58,25.75,34.1,33.89,43.38,42.932,44.635,47.67
2025-01-13,42.91,45.17,46.0,42.61,436636.0,1953358455.0,-2.57,-2.361,-0.419,28.23,19.8,45.09,51.39,42.19,46.27,43.614,44.21,47.311
2025-01-14,45.11,46.63,46.92,44.85,430358.0,1993276066.0,-2.269,-2.342,0.148,50.41,30.0,91.23,61.33,48.0,48.5,44.34,43.96,47.087
2025-01-15,46.33,45.67,46.46,45.42,241418.0,1107652453.0,-2.083,-2.29,0.415,59.43,39.81,98.67,52.81,44.77,47.16,44.934,43.858,46.866
2025-01-16,45.67,45.5,46.77,45.1,229584.0,1053060007.0,-1.927,-2.218,0.581,64.43,48.02,97.25,51.3,44.2,46.92,45.27,43.96,46.614
2025-01-17,45.12,45.4,46.11,44.89,179174.0,814425402.0,-1.791,-2.132,0.683,66.58,54.2,91.33,50.28,43.84,46.77,45.674,44.303,46.287
2025-01-20,45.0,45.05,45.81,44.83,209345.0,946725424.0,-1.692,-2.044,0.705,65.78,58.06,81.21,46.41,42.51,46.24,45.65,44.632,45.941
2025-01-21,45.14,44.85,45.4,44.66,153754.0,690938324.0,-1.611,-1.958,0.693,61.92,59.35,67.06,44.09,41.73,45.93,45.294,44.817,45.662
2025-01-22,44.5,43.9,44.61,43.71,186376.0,822670120.0,-1.605,-1.887,0.564,51.26,56.65,40.47,34.3,38.08,44.46,44.94,44.937,45.32
2025-01-23,44.38,43.6,45.8,43.6,278822.0,1244511313.0,-1.606,-1.831,0.45,41.83,51.71,22.06,31.64,36.96,44.0,44.56,44.915,45.084
2025-01-24,43.59,44.98,45.08,43.55,282490.0,1261575073.0,-1.479,-1.761,0.564,42.03,48.48,29.12,52.14,45.03,46.67,44.476,45.075,44.855
2025-01-27,45.36,43.23,45.5,43.18,200234.0,880508720.0,-1.501,-1.709,0.415,28.48,41.82,1.82,35.8,38.26,43.9,44.112,44.881,44.546
2025-02-05,44.36,46.65,47.5,44.0,535119.0,2466730256.0,-1.229,-1.613,0.767,45.76,43.13,51.03,63.0,53.25,49.96,44.472,44.883,44.421
2025-02-06,46.5,48.86,49.3,45.7,510722.0,2445593654.0,-0.826,-1.455,1.259,61.45,49.24,85.86,72.15,60.08,53.36,45.464,45.202,44.53
2025-02-07,48.5,50.35,51.75,48.3,656069.0,3285510856.0,-0.381,-1.241,1.718,68.85,55.78,95.01,76.79,63.96,55.49,46.814,45.687,44.824
2025-02-10,51.09,50.74,51.79,49.8,510811.0,2586420518.0,0.002,-0.992,1.989,75.17,62.24,100.0,77.94,64.93,56.04,47.966,46.221,45.262
2025-02-11,50.24,49.23,50.24,49.19,340740.0,1690045991.0,0.182,-0.757,1.879,73.54,66.01,88.6,63.31,58.29,53.39,49.166,46.639,45.636
2025-02-12,48.71,50.02,50.27,48.65,316092.0,1574725798.0,0.384,-0.529,1.826,75.5,69.17,88.17,67.18,60.59,54.56,49.84,47.156,45.986
2025-02-13,49.89,49.46,50.8,48.4,377226.0,1865704340.0,0.494,-0.324,1.636,74.65,71.0,81.95,61.65,58.11,53.56,49.96,47.712,46.324
2025-02-14,49.2,51.17,51.45,49.07,537080.0,2719872317.0,0.71,-0.118,1.655,80.7,74.23,93.63,70.54,63.13,56.12,50.124,48.469,46.692
2025-02-17,51.33,51.02,52.8,50.3,568165.0,2927720036.0,0.859,0.078,1.563,80.39,76.28,88.6,68.86,62.42,55.84,50.18,49.073,47.074
2025-02-18,50.6,51.55,54.2,50.6,681508.0,3572844265.0,1.009,0.264,1.49,76.53,76.37,76.87,71.71,63.99,56.64,50.644,49.905,47.393
2025-02-19,51.54,52.48,52.5,49.16,502228.0,2560395290.0,1.189,0.449,1.48,74.64,75.79,72.33,76.29,66.67,58.04,51.136,50.488,47.686
