datetime,open,close,high,low,volume,amount,MACD_1h,MACD_1h_Signal,MACD_1h_Hist,KDJ_1h_K,KDJ_1h_D,KDJ_1h_J,RSI_1h_6,RSI_1h_12,RSI_1h_24,ma5_1h,ma10_1h,ma20_1h
2025-03-20 15:00:00,45.99,45.79,46.11,45.78,32876.0,150806866.0,-0.107,-0.001,-0.211,13.21,19.73,0.18,27.61,42.28,48.41,46.08,46.294,46.554
2025-03-21 10:30:00,45.55,45.01,45.87,45.0,56450.0,256405378.0,-0.2,-0.041,-0.318,8.99,16.15,0.0,15.73,32.39,42.55,45.83,46.118,46.504
2025-03-21 11:30:00,45.01,44.62,45.17,44.58,43997.0,197846200.0,-0.302,-0.093,-0.418,6.64,12.98,0.0,12.51,28.73,40.02,45.534,45.891,46.412
2025-03-21 14:00:00,44.63,44.18,44.73,44.1,45203.0,200256316.0,-0.414,-0.157,-0.513,5.47,10.48,0.0,9.79,25.21,37.4,45.12,45.69,46.289
2025-03-21 15:00:00,44.18,44.25,44.48,44.01,37736.0,167195405.0,-0.491,-0.224,-0.533,6.93,9.29,2.19,13.38,26.77,38.07,44.77,45.475,46.172
2025-03-24 10:30:00,44.05,44.09,44.48,43.85,40797.0,179888828.0,-0.558,-0.291,-0.535,7.69,8.76,5.56,12.06,25.45,37.12,44.43,45.255,46.0
2025-03-24 11:30:00,44.07,43.84,44.12,43.75,20475.0,89839088.0,-0.625,-0.358,-0.534,6.29,7.94,3.0,10.18,23.48,35.67,44.196,45.013,45.832
2025-03-24 14:00:00,43.84,43.07,43.88,43.0,51966.0,225378184.0,-0.731,-0.432,-0.598,4.91,6.93,0.86,6.46,18.63,31.69,43.886,44.71,45.635
2025-03-24 15:00:00,43.06,43.97,44.0,42.7,49518.0,214241108.0,-0.734,-0.493,-0.483,15.69,9.85,27.36,38.17,35.59,39.88,43.844,44.482,45.493
2025-03-25 10:30:00,43.98,43.53,44.09,43.5,32512.0,142370367.0,-0.764,-0.547,-0.434,19.18,12.96,31.64,31.84,32.03,37.58,43.7,44.235,45.318
2025-03-25 11:30:00,43.51,43.41,43.65,43.37,15506.0,67455167.0,-0.788,-0.595,-0.385,22.37,16.1,34.92,30.2,31.1,36.97,43.564,43.997,45.146
2025-03-25 14:00:00,43.44,43.56,43.93,43.4,15444.0,67522523.0,-0.785,-0.633,-0.304,29.04,20.41,46.29,35.2,33.72,38.27,43.508,43.852,44.985
2025-03-25 15:00:00,43.56,43.47,43.65,43.35,20234.0,87959079.0,-0.782,-0.663,-0.238,33.78,24.87,51.6,33.47,32.9,37.78,43.588,43.737,44.814
2025-03-26 10:30:00,43.45,43.63,43.85,43.45,30118.0,131658378.0,-0.757,-0.682,-0.151,39.93,29.89,60.02,39.78,35.91,39.22,43.52,43.682,44.686
2025-03-26 11:30:00,43.63,43.62,43.75,43.55,11067.0,48294411.0,-0.73,-0.691,-0.078,48.22,36.0,72.66,39.5,35.8,39.16,43.538,43.619,44.547
2025-03-26 14:00:00,43.63,43.4,43.64,43.31,16949.0,73657239.0,-0.718,-0.697,-0.043,48.93,40.31,66.18,33.29,33.36,37.85,43.536,43.55,44.402
2025-03-26 15:00:00,43.4,43.4,43.59,43.36,16023.0,69595750.0,-0.701,-0.698,-0.006,49.41,43.34,61.54,50.0,50.0,50.0,43.504,43.506,44.26
2025-03-27 10:30:00,43.4,43.4,43.56,43.0,32321.0,139887192.0,-0.679,-0.694,0.03,45.17,43.95,47.61,50.0,50.0,50.0,43.49,43.539,44.124
2025-03-27 11:30:00,43.38,43.55,43.73,43.3,18255.0,79521048.0,-0.642,-0.684,0.082,49.83,45.91,57.66,43.71,37.15,39.42,43.474,43.497,43.99
2025-03-27 14:00:00,43.55,43.75,44.2,43.38,37838.0,165861300.0,-0.59,-0.665,0.149,54.05,48.62,64.91,54.97,41.96,41.47,43.5,43.519,43.877
2025-03-27 15:00:00,43.75,44.24,44.4,43.75,61359.0,271258017.0,-0.504,-0.633,0.258,65.56,54.27,88.14,71.64,51.81,46.14,43.668,43.602,43.8
2025-03-28 10:30:00,44.19,44.41,44.7,43.9,59237.0,262574335.0,-0.417,-0.589,0.346,71.35,59.96,94.13,75.42,54.72,47.65,43.87,43.687,43.77
2025-03-28 11:30:00,44.41,44.14,44.42,44.0,22337.0,98811725.0,-0.365,-0.545,0.359,69.92,63.28,83.2,60.12,49.54,45.53,44.018,43.754,43.746
2025-03-28 14:00:00,44.14,44.17,44.24,43.85,18142.0,79841217.0,-0.318,-0.499,0.362,69.56,65.37,77.92,61.17,50.11,45.81,44.142,43.808,43.745
2025-03-28 15:00:00,44.2,43.86,44.2,43.85,19910.0,87564797.0,-0.303,-0.46,0.315,63.23,64.66,60.38,46.11,44.43,43.41,44.164,43.832,43.726
2025-03-31 10:30:00,43.6,42.89,43.6,42.84,41967.0,181273305.0,-0.364,-0.441,0.153,43.05,57.46,14.24,23.96,32.03,37.08,43.894,43.781,43.666
2025-03-31 11:30:00,42.89,42.6,42.99,42.6,23924.0,102386678.0,-0.432,-0.439,0.015,28.7,47.87,0.0,20.44,29.36,35.46,43.532,43.701,43.604
2025-03-31 14:00:00,42.61,42.83,43.09,42.58,16282.0,69822251.0,-0.461,-0.443,-0.035,23.06,39.6,0.0,30.2,34.11,37.71,43.27,43.644,43.592
2025-03-31 15:00:00,42.81,43.19,43.46,42.75,26073.0,112606715.0,-0.45,-0.445,-0.011,24.97,34.72,5.45,43.28,40.91,41.06,43.074,43.608,43.552
2025-04-01 10:30:00,43.3,43.29,43.58,43.0,29621.0,128157022.0,-0.429,-0.441,0.026,27.81,32.42,18.59,46.61,42.7,41.96,42.96,43.562,43.54
2025-04-01 11:30:00,43.29,43.08,43.3,43.06,20290.0,87593326.0,-0.423,-0.438,0.029,27.6,30.81,21.17,40.6,39.93,40.6,42.998,43.446,43.524
2025-04-01 14:00:00,43.08,42.93,43.09,42.8,22278.0,95562294.0,-0.427,-0.436,0.018,25.43,29.02,18.25,36.56,38.0,39.63,43.064,43.298,43.492
2025-04-01 15:00:00,42.93,42.82,42.95,42.8,21187.0,90779636.0,-0.433,-0.435,0.004,21.89,26.64,12.39,33.61,36.59,38.93,43.062,43.166,43.46
2025-04-02 10:30:00,42.85,43.17,43.31,42.72,33427.0,143908574.0,-0.405,-0.429,0.048,33.87,29.05,43.52,49.23,43.82,42.34,43.058,43.066,43.437
2025-04-02 11:30:00,43.16,43.12,43.28,43.08,10861.0,46901659.0,-0.383,-0.42,0.074,40.58,32.9,55.96,47.32,43.06,41.99,43.024,42.992,43.412
2025-04-02 14:00:00,43.12,43.09,43.24,42.98,11020.0,47480602.0,-0.363,-0.408,0.091,44.05,36.62,58.93,46.04,42.57,41.77,43.026,43.012,43.396
2025-04-02 15:00:00,43.09,43.14,43.16,43.01,17181.0,74075887.0,-0.34,-0.395,0.11,45.65,39.63,57.69,48.82,43.73,42.29,43.068,43.066,43.384
2025-04-03 10:30:00,42.76,44.82,45.2,42.76,149245.0,665127362.0,-0.183,-0.352,0.338,58.66,45.97,84.03,83.36,67.62,55.96,43.468,43.265,43.454
2025-04-03 11:30:00,44.82,44.98,45.35,44.72,107397.0,484343023.0,-0.046,-0.291,0.49,67.75,53.23,96.79,84.56,68.99,56.97,43.83,43.444,43.526
2025-04-03 14:00:00,44.97,44.75,44.98,44.53,26774.0,119691196.0,0.044,-0.224,0.536,70.9,59.12,94.45,75.26,64.7,55.07,44.156,43.59,43.576
2025-04-03 15:00:00,44.75,44.56,44.8,44.55,31863.0,142171813.0,0.098,-0.16,0.516,70.58,62.94,85.87,67.86,61.27,53.53,44.45,43.738,43.592
